n_samples,d,vine_family,correlation_type,rho,corr_max_error,corr_mean_error,corr_rmse,corr_of_corrs,marginals_similar,mean_ks_stat,mean_kendall_diff,mean_spearman_diff,entropy_true,entropy_error
500,10,c-vine,block,0.9,0.6732717525789136,0.3276718538332604,0.3999681981311572,0.8440054519085344,True,0.042600000000000006,0.2384587842351369,0.3166302627877178,6.505101263565591,2.84355468088392
500,10,d-vine,toeplitz,0.3,0.5838150878013406,0.3558349927774643,0.39877375266475834,-0.8152784250676948,True,0.0372,0.23986141171231354,0.34787496376652177,13.76498727442614,1.4889743526100254
500,10,d-vine,toeplitz,0.9,0.37680109001305806,0.15340090193782072,0.18614208122323783,-0.683425286530168,True,0.032,0.1429906924961033,0.1577289551824874,6.716094901349296,2.5235114515945174
500,10,d-vine,equicorrelation,0.3,0.27139873436464323,0.12948238513004653,0.1484507272678281,0.12485495019115198,True,0.0382,0.08870790469828545,0.12503396786920482,13.23851449414752,0.6732202392203703
500,10,d-vine,equicorrelation,0.6,0.14249733129663333,0.0413641769401918,0.05368626693493258,0.034125687890448134,True,0.045599999999999995,0.034345312847918044,0.04366145464581856,10.99422603379584,0.037399191290308664
500,10,d-vine,equicorrelation,0.9,0.285733035264926,0.14255138103925222,0.1553559907232649,-0.13789988515500803,True,0.037000000000000005,0.16360873353978805,0.1496627583043655,4.931889620334921,3.751413144456869
500,10,d-vine,block,0.6,0.7759913220781707,0.382427087225457,0.48162970079473794,-0.4968647900005272,True,0.0364,0.2640374081496325,0.3725615905130286,11.747997836172221,0.6960477707367971
500,10,d-vine,block,0.9,0.8853404285510669,0.5412863604036324,0.5946928014033547,-0.2166475029607192,True,0.033600000000000005,0.41086424536464494,0.5260655114441406,6.505101263565591,3.395635306919403
1000,3,c-vine,toeplitz,0.3,0.2989211576726668,0.15923765480348992,0.19252859897068791,-0.16044344885143164,True,0.02666666666666667,0.1050623957290624,0.1527927247927248,4.162504920142777,0.3124301800689313
1000,3,c-vine,toeplitz,0.6,0.023137191332101348,0.02217580814932126,0.022186372520667675,0.9894897928901726,True,0.027999999999999997,0.013506840173506868,0.016714468714468706,3.810528496985599,0.22773813136167842
1000,3,c-vine,toeplitz,0.9,0.23266427675012502,0.17634955594721502,0.1808004820394715,0.5558409550528436,True,0.023666666666666666,0.1900807474140808,0.187007403007403,2.5960843927923674,0.6088950745139958
1000,3,c-vine,equicorrelation,0.3,0.13102284576772638,0.0659125209608758,0.08058910434066505,-0.6671120916359238,True,0.023333333333333334,0.03632966299632966,0.05046781846781847,4.135142470298154,0.19360919569516977
1000,3,c-vine,equicorrelation,0.6,0.05674667219762275,0.054659521721296955,0.05467969870002459,0.8825233776851806,True,0.030333333333333334,0.05216416416416416,0.06603621003621007,3.7347535479219984,0.11008992829528763
1000,3,c-vine,equicorrelation,0.9,0.25918143562597684,0.21463014650398218,0.22088249440738578,-0.9973456326635899,True,0.021666666666666667,0.22820420420420418,0.2207759687759688,2.4690402152105517,0.9016024108189851
1000,3,d-vine,toeplitz,0.3,0.3486012375159632,0.12757977456643907,0.20175664456937184,-0.9741937181393946,True,0.03,0.07868550851709351,0.11484229153254323,4.162504920142777,0.2476190451434146
1000,3,d-vine,toeplitz,0.6,0.27794591680761754,0.10914781496973545,0.1622362338414013,-0.8628516245782828,True,0.023000000000000003,0.07637771328485975,0.10430704431006395,3.810528496985599,0.20077662948451902
1000,3,d-vine,toeplitz,0.9,0.2785723977459046,0.20107564138428824,0.22586616636540455,-0.9977311788477159,True,0.03,0.19569703036369704,0.19809719409719415,2.5960843927923674,0.6732679028609279
1000,3,d-vine,equicorrelation,0.3,0.11262179181089604,0.05405441057998289,0.0705846268836074,0.688545038073825,True,0.03866666666666666,0.04249582916249583,0.06242391842391843,4.135142470298154,0.22486842876826163
1000,3,d-vine,equicorrelation,0.6,0.0684616850362616,0.050788939083182195,0.053178470347676025,-0.9466538779013332,True,0.028666666666666663,0.03397263930597263,0.04351671951671957,3.7347535479219984,0.13996031252243002
1000,3,d-vine,equicorrelation,0.9,0.24154571314506545,0.20103566301307466,0.2077595006905474,-0.16583102544797054,True,0.024999999999999998,0.21936405395874767,0.21033286965928277,2.4690402152105517,0.8267768107162277
1000,5,c-vine,toeplitz,0.6,0.22740652292047578,0.07024922885537904,0.10279232613303559,0.866700731758207,True,0.0324,0.050601801801801814,0.07071187191187192,6.202118460766524,0.23556327104656205
1000,5,c-vine,toeplitz,0.9,0.25362758190043966,0.08957378575177774,0.11456717777977356,0.6906495322379549,True,0.022000000000000002,0.08787245323128053,0.08778703850671302,3.77323025238006,0.9893456862100889
1000,5,c-vine,equicorrelation,0.3,0.25323611022998366,0.08519062548961462,0.10705568961121628,-0.44997036485395775,True,0.0252,0.060243443443443456,0.0852007596007596,6.7755714583280335,0.46879049025678654
1000,5,c-vine,equicorrelation,0.6,0.10525261289519938,0.03533855622480403,0.044213296172734326,0.171230258576097,True,0.0258,0.03125445445445447,0.03926968166968168,5.8739989180861105,0.17627104118873937
1000,5,c-vine,equicorrelation,0.9,0.2545994978591104,0.13330553030843575,0.1636768207548988,0.6509258257228042,True,0.024200000000000003,0.14813933933933934,0.13814538854538855,3.2525506317827957,1.0752121338068625
1000,5,c-vine,block,0.3,0.39363375235877973,0.27432264798755535,0.29703190812694313,0.7349963426428534,True,0.0356,0.17873633633633637,0.26096861696861695,6.925864196971878,0.5761176857756096
1000,5,c-vine,block,0.6,0.48567133635838183,0.2638364625490512,0.32114949425730505,0.8394659102058359,True,0.022199999999999998,0.17269979163836718,0.24814723239126937,6.349487063017133,0.339868388880709
1000,5,c-vine,block,0.9,0.39524873751494033,0.2793553114369929,0.29069416973976636,0.9418302614739213,True,0.0334,0.22208688688688688,0.28112607272607276,4.476551678209071,1.0990320709190105
